Град,Област,lat,lng,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
гр. ПЪРВОМАЙ,ПЛОВДИВ,42.0991919,25.2248637,59,25,14,4,10,9,15,11,14,39,22,13,18,44,34,33,24,30,16
гр. РАДНЕВО,СТАРА ЗАГОРА,42.2896685,25.9344006,73,18,24,6,5,13,8,15,12,41,13,10,15,41,35,26,27,11,14
гр. РАДОМИР,ПЕРНИК,42.5456613,22.9624276,59,22,13,6,4,7,12,6,7,12,7,4,19,29,39,24,25,24,13
гр. РАЗГРАД,РАЗГРАД,43.525002,26.5231269,415,127,78,57,46,55,67,79,87,143,83,80,90,205,174,122,108,98,95
гр. РАЗЛОГ,БЛАГОЕВГРАД,41.8859835,23.4665277,79,35,15,14,12,17,19,15,18,44,26,44,43,86,63,64,44,35,52
гр. РАКИТОВО,ПАЗАРДЖИК,41.9902024,24.0873886,68,24,13,7,6,3,4,5,10,18,9,4,7,11,11,20,13,12,9
гр. РАКОВСКИ,ПЛОВДИВ,42.2891862,24.9659549,57,31,19,11,14,7,14,15,13,25,21,30,23,49,60,52,36,31,26
гр. РИЛА,КЮСТЕНДИЛ,42.1272707,23.1337455,5,1,3,0,1,1,0,0,2,2,0,2,2,6,3,7,5,2,1
гр. РОМАН,ВРАЦА,43.1465926,23.92539,21,1,5,1,1,2,0,2,4,8,3,3,1,11,7,12,5,1,3
гр. РУДОЗЕМ,СМОЛЯН,41.4872392,24.8489589,25,13,6,3,7,4,2,7,3,9,12,11,13,14,11,16,5,7,9
гр. РУСЕ,РУСЕ,43.8495786,25.9552292,1446,611,410,266,246,276,258,297,371,610,334,403,443,803,703,600,515,590,503
гр. САДОВО,ПЛОВДИВ,42.1333421,24.939644,11,2,2,2,0,0,2,2,1,2,4,3,3,2,4,4,4,1,1
гр. САМОКОВ,СОФИЯ-ОБЛАСТ,42.3371612,23.5576656,151,75,38,31,24,40,36,57,57,69,54,66,61,160,139,122,86,73,69
гр. САНДАНСКИ,БЛАГОЕВГРАД,41.5611742,23.277684,176,72,46,26,23,27,31,35,42,97,55,45,47,152,123,114,127,144,188
гр. САПАРЕВА БАНЯ,КЮСТЕНДИЛ,42.2891671,23.2642072,13,1,5,0,1,2,4,2,6,4,4,6,7,14,12,11,8,16,9
гр. СВЕТИ ВЛАС,БУРГАС,42.7125,27.7556,1,0,0,2,0,0,0,3,1,4,4,7,5,22,48,23,19,31,36
гр. СВИЛЕНГРАД,ХАСКОВО,41.7653776,26.2033187,36,17,13,19,19,30,19,24,53,84,35,32,47,108,79,54,38,63,68
гр. СВИЩОВ,ВЕЛИКО ТЪРНОВО,43.6201165,25.3460445,171,67,44,22,17,40,34,36,40,58,45,41,42,77,74,70,44,36,28
гр. СВОГЕ,СОФИЯ-ОБЛАСТ,42.9633117,23.3425761,51,14,10,17,7,8,4,7,22,19,10,18,24,38,24,20,15,17,11
гр. СЕВЛИЕВО,ГАБРОВО,43.0265081,25.1036402,137,58,30,23,21,22,30,38,57,66,53,38,45,110,75,60,49,44,43
гр. СЕНОВО,РУСЕ,43.6494541,26.3629775,6,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0
гр. СЕПТЕМВРИ,ПАЗАРДЖИК,42.2068593,24.1329093,23,11,9,4,5,9,8,2,5,11,2,7,7,15,14,16,19,10,11
гр. СИЛИСТРА,СИЛИСТРА,44.1171075,27.2607221,443,158,103,42,47,46,55,50,77,138,73,95,98,169,160,119,89,88,77
гр. СИМЕОНОВГРАД,ХАСКОВО,42.0343686,25.831433,23,2,5,0,2,2,3,4,5,8,1,2,4,4,7,15,4,1,5
гр. СИМИТЛИ,БЛАГОЕВГРАД,41.8924667,23.1114592,20,6,4,6,1,1,4,8,7,14,5,11,10,26,18,25,12,13,8
гр. СЛАВЯНОВО,ПЛЕВЕН,43.4650306,24.8714524,14,3,1,0,2,1,2,2,2,2,1,3,2,4,7,7,7,6,1
гр. СЛИВЕН,СЛИВЕН,42.6805279,26.3163302,641,251,191,100,88,99,160,132,159,278,196,210,245,472,360,227,211,204,184
гр. СЛИВНИЦА,СОФИЯ-ОБЛАСТ,42.8524771,23.0378527,26,13,9,5,2,4,8,6,8,16,6,9,15,26,17,17,14,17,14
гр. СЛИВО ПОЛЕ,РУСЕ,43.9417854,26.2046145,17,7,0,0,1,0,1,0,5,6,2,5,2,5,5,3,5,8,1
гр. СМОЛЯН,СМОЛЯН,41.5746569,24.7107801,296,137,94,35,63,50,63,45,62,121,68,100,122,238,179,136,94,82,87
гр. СМЯДОВО,ШУМЕН,43.0644304,27.0137253,15,6,4,0,2,2,3,2,6,1,3,3,3,11,3,2,6,3,8
гр. СОЗОПОЛ,БУРГАС,42.4173676,27.6963564,19,6,6,2,5,4,3,4,12,26,26,21,24,30,33,22,28,18,20
гр. СОПОТ,ПЛОВДИВ,42.6534447,24.7569355,26,20,9,4,6,11,11,9,10,23,16,14,9,29,19,16,20,16,7
гр. СОФИЯ,СОФИЯ-ГРАД,42.6964917,23.3260106,13065,5630,3854,2623,2114,2514,2840,2893,3300,5583,3888,4537,5865,12442,9691,8094,7896,7602,6513
гр. СРЕДЕЦ,БУРГАС,42.3452607,27.181207,49,13,12,7,7,3,3,2,6,11,9,11,8,13,11,17,27,14,18
гр. СТАМБОЛИЙСКИ,ПЛОВДИВ,42.137124,24.5354729,38,12,17,5,5,1,5,11,10,22,10,13,23,36,37,27,25,14,14
гр. СТАРА ЗАГОРА,СТАРА ЗАГОРА,42.4239169,25.6249022,1436,651,426,277,225,263,249,266,403,591,398,383,457,900,718,513,460,407,376
гр. СТРАЖИЦА,ВЕЛИКО ТЪРНОВО,43.2270807,25.9614363,34,7,12,3,5,1,4,4,5,7,5,8,8,17,7,6,3,6,4
гр. СТРАЛДЖА,ЯМБОЛ,42.5972581,26.6915327,13,8,3,1,4,3,1,2,3,2,9,2,0,8,5,12,16,7,3
гр. СТРЕЛЧА,ПАЗАРДЖИК,42.5062784,24.3209846,13,4,5,1,1,4,4,0,2,5,6,2,2,6,10,12,11,8,5
гр. СУВОРОВО,ВАРНА,43.3287769,27.5914952,23,7,0,1,1,2,1,0,6,2,3,4,2,8,11,12,1,6,5
гр. СУНГУРЛАРЕ,БУРГАС,42.7629818,26.773294,24,4,3,1,2,4,2,3,3,10,8,6,4,14,4,7,5,4,2
гр. СУХИНДОЛ,ВЕЛИКО ТЪРНОВО,43.1855,25.1715,6,4,1,1,0,1,6,2,1,5,2,0,3,1,6,3,4,2,4
гр. СЪЕДИНЕНИЕ,ПЛОВДИВ,42.2746994,24.5423036,20,7,8,9,4,3,2,5,2,14,7,3,10,13,18,15,8,11,15
гр. СЪРНИЦА,ПАЗАРДЖИК,41.7374031,24.0244503,62,19,13,10,6,5,6,10,6,9,13,11,9,21,22,10,14,18,12
гр. ТВЪРДИЦА,СЛИВЕН,42.7014236,25.8979296,26,5,4,5,1,3,5,3,5,5,8,7,6,9,9,14,14,11,5
гр. ТЕРВЕЛ,ДОБРИЧ,43.7477132,27.4089582,29,12,5,4,6,7,4,5,8,7,3,5,15,19,31,22,13,10,15
гр. ТЕТЕВЕН,ЛОВЕЧ,42.9198522,24.2561434,64,31,20,8,7,11,5,7,9,17,22,16,22,41,25,22,15,11,13
гр. ТОПОЛОВГРАД,ХАСКОВО,42.084523,26.3369087,37,7,8,8,5,3,4,1,4,11,4,7,5,13,6,9,6,4,4
гр. ТРОЯН,ЛОВЕЧ,42.8844685,24.710814,154,72,48,19,30,20,40,25,48,70,41,42,53,114,108,65,63,42,44
гр. ТРЪН,ПЕРНИК,42.8349032,22.6505387,6,1,1,0,0,2,0,0,0,4,1,2,1,5,0,1,5,3,4
гр. ТРЪСТЕНИК,ПЛЕВЕН,43.5208094,24.4719272,17,2,6,3,1,1,1,1,2,4,2,2,3,4,9,8,1,8,7
гр. ТРЯВНА,ГАБРОВО,42.8673171,25.4927178,71,25,19,13,12,14,10,20,19,27,15,19,18,47,36,32,27,22,21
гр. ТУТРАКАН,СИЛИСТРА,44.044935,26.6144888,46,12,12,6,5,7,3,5,7,26,16,10,22,18,14,11,10,10,12
гр. ТЪРГОВИЩЕ,ТЪРГОВИЩЕ,43.247125,26.5728187,359,119,52,37,58,36,46,52,74,125,102,98,111,181,127,126,122,119,80
гр. УГЪРЧИН,ЛОВЕЧ,43.0950504,24.4181428,6,5,1,0,0,0,0,1,0,3,2,3,3,2,4,3,3,2,0
гр. ХАДЖИДИМОВО,БЛАГОЕВГРАД,41.515585,23.8525246,12,1,2,2,2,3,3,1,3,8,4,4,3,15,6,4,11,2,7
гр. ХАРМАНЛИ,ХАСКОВО,41.9303283,25.9020632,91,27,17,10,10,15,16,18,21,55,26,29,38,67,63,45,32,50,37
гр. ХАСКОВО,ХАСКОВО,41.9312769,25.5572129,541,242,151,120,78,103,102,90,113,246,178,179,256,443,331,244,193,187,174
гр. ХИСАРЯ,ПЛОВДИВ,42.5065295,24.7102688,38,13,12,1,7,6,7,5,8,16,18,15,12,25,30,21,13,19,15
гр. ЦАРЕВО,БУРГАС,42.168,27.846,14,3,2,1,5,1,3,7,3,13,9,11,17,29,21,25,17,15,14
гр. ЦАР КАЛОЯН,РАЗГРАД,43.6086604,26.2370904,5,2,0,0,3,1,0,2,1,3,1,3,3,5,4,4,4,1,5
гр. ЧЕПЕЛАРЕ,СМОЛЯН,41.7251812,24.6849586,23,6,7,5,0,6,9,5,14,17,12,15,23,31,33,33,14,4,8
гр. ЧЕРВЕН БРЯГ,ПЛЕВЕН,43.2817621,24.0836121,33,23,13,3,11,10,9,6,18,20,16,15,14,22,24,31,20,12,21
гр. ЧИПРОВЦИ,МОНТАНА,43.3845065,22.880836,4,1,0,1,1,0,1,3,1,5,0,2,2,1,4,8,2,0,3
гр. ЧИРПАН,СТАРА ЗАГОРА,42.1995609,25.3251252,62,29,18,12,2,8,7,15,10,33,18,12,11,29,26,22,27,19,10
гр. ШАБЛА,ДОБРИЧ,43.5362366,28.5321549,22,4,2,1,1,5,4,0,1,3,5,7,6,8,17,13,5,11,2
гр. ШИВАЧЕВО,СЛИВЕН,42.6863617,26.0279359,4,1,0,0,1,0,0,0,1,2,0,1,0,4,6,9,5,3,1
гр. ШИПКА,СТАРА ЗАГОРА,42.71246,25.3324,3,0,1,4,1,1,1,0,2,3,2,2,0,7,5,3,2,3,1
гр. ШУМЕН,ШУМЕН,43.2706037,26.9233772,879,296,196,129,102,90,100,104,152,312,173,173,221,419,322,307,195,208,172
гр. ЯБЛАНИЦА,ЛОВЕЧ,43.0250438,24.099946,17,6,2,1,1,3,2,1,3,1,6,3,15,8,7,10,4,4,1
гр. ЯКОРУДА,БЛАГОЕВГРАД,42.0177306,23.6690041,20,6,4,3,1,5,4,6,6,11,10,7,9,12,7,4,11,8,6
гр. ЯМБОЛ,ЯМБОЛ,42.4837689,26.5107717,651,278,144,80,105,108,114,85,129,212,149,148,181,299,243,205,161,157,138
