Град,Област,lat,lng,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
гр. ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,43.0785562,25.6271574,744,330,217,151,115,143,161,169,247,329,250,258,251,468,376,300,259,185,166
гр. ВЕЛИНГРАД,ПАЗАРДЖИК,42.0272315,23.9965396,165,55,37,29,21,23,34,24,50,56,46,27,39,82,66,59,43,34,40
гр. ВЕТОВО,РУСЕ,43.7032312,26.2638198,17,11,5,4,3,2,1,11,3,6,9,4,2,6,9,9,5,12,8
гр. ВЕТРЕН,ПАЗАРДЖИК,42.1565139,24.1524203,7,3,3,4,0,3,0,0,1,3,0,2,1,4,4,9,6,2,1
гр. ВИДИН,ВИДИН,43.9937135,22.8764136,346,165,77,42,64,41,50,45,67,121,65,80,83,148,176,162,104,100,83
гр. ВРАЦА,ВРАЦА,43.2038499,23.5487847,457,178,138,79,97,78,93,104,103,177,124,138,154,236,197,192,132,120,107
гр. ВЪЛЧЕДРЪМ,МОНТАНА,43.6956045,23.4449695,3,2,1,2,2,1,1,1,2,5,3,4,2,8,10,8,7,2,11
гр. ВЪЛЧИДОЛ,ВАРНА,43.4050,27.5540,15,3,2,0,1,1,3,4,3,4,3,2,8,9,11,11,6,3,7
гр. ВЪРБИЦА,ШУМЕН,42.9938134,26.6717994,11,5,2,1,0,2,1,1,1,6,2,3,3,4,2,6,3,2,3
гр. ВЪРШЕЦ,МОНТАНА,43.1944749,23.2853172,16,5,2,2,1,1,2,1,3,13,5,1,6,8,7,8,7,5,8
гр. ГАБРОВО,ГАБРОВО,42.8742242,25.3189375,676,315,188,89,84,90,109,116,163,289,143,173,173,331,288,252,176,191,127
гр. ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ,43.7017249,28.0393974,52,17,17,5,12,1,7,8,7,10,6,18,10,24,39,38,19,18,14
гр. ГЛАВИНИЦА,СИЛИСТРА,43.9118653,26.8363212,11,3,3,0,0,2,0,0,0,4,0,3,2,4,3,4,1,1,1
гр. ГЛОДЖЕВО,РУСЕ,43.7354549,26.3903855,5,1,1,1,0,1,0,0,3,1,3,4,4,1,4,10,6,2,5
гр. ГОДЕЧ,СОФИЯ-ОБЛАСТ,43.0099026,23.0469884,13,11,4,2,1,2,3,1,4,10,6,4,4,5,17,13,9,13,5
гр. ГОРНА ОРЯХОВИЦА,ВЕЛИКО ТЪРНОВО,43.1219994,25.689561,300,114,69,43,38,32,50,40,55,84,60,60,60,116,93,97,77,57,33
гр. ГОЦЕ ДЕЛЧЕВ,БЛАГОЕВГРАД,41.5708111,23.7228114,110,58,21,14,16,15,10,20,25,74,31,37,53,106,112,73,85,92,75
гр. ГРАМАДА,ВИДИН,43.8333211,22.6579712,4,0,0,0,0,2,1,0,0,0,1,0,1,3,2,2,1,0,3
гр. ГУЛЯНЦИ,ПЛЕВЕН,43.6392391,24.6955178,11,3,2,2,3,3,0,1,2,6,0,3,1,2,6,4,4,3,2
гр. ГУРКОВО,СТАРА ЗАГОРА,42.6573272,25.7960045,15,5,2,1,1,1,0,2,1,8,6,2,5,4,2,5,6,3,5
гр. ГЪЛЪБОВО,СТАРА ЗАГОРА,42.1381875,25.8675572,36,11,15,9,8,6,14,9,7,15,10,3,14,30,24,30,29,10,14
гр. ДВЕ МОГИЛИ,РУСЕ,43.5935886,25.875586,20,5,5,2,2,0,1,1,2,4,4,5,4,8,8,5,6,4,7
гр. ДЕБЕЛЕЦ,ВЕЛИКО ТЪРНОВО,43.043635,25.6210726,17,7,1,4,3,5,1,1,2,3,5,4,5,4,11,6,5,7,5
гр. ДЕВИН,СМОЛЯН,41.7437977,24.3979959,18,12,3,1,9,3,5,4,6,16,5,7,28,29,30,22,17,9,12
